id,campaigncoop,checksum,dropin,game,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,platform,splitscreen,splitscreenonline
11467,False,dce2e936-d227-b321-2909-088bc304db3a,False,43382,False,False,,2,False,,,,True,
11710,False,75dcdecc-f073-8fc7-4554-38f18f1c472d,False,138908,False,False,,,False,,,7,False,
25,False,6ba886f4-3c39-fe8f-b342-96b83ea9c816,False,49118,False,False,,,False,,,59,False,
34,False,8e43384d-b731-1948-d3b0-c48d63a6e70a,False,51693,False,False,,,False,,,49,False,
36,False,89e44830-cff6-973c-5804-53c336a95357,True,26742,False,False,,,True,,,82,False,
39,True,167fbc96-0d76-a412-9f47-4f1d9952df96,False,27666,False,True,2,,False,,,6,False,
40,True,d69bc18d-6d4c-92be-5d31-96af4ee501b8,False,27666,False,True,2,,False,,,12,False,
41,True,2cf7517d-6beb-21eb-f623-2a29b26d3ee0,False,27666,False,True,2,,False,,,48,False,
31,False,2f30899d-907a-d928-424b-3d764ddd15b4,False,51551,False,False,,,False,,,34,False,
8111,False,cb35eaf7-ba08-45d0-fd82-bac6317bc0db,False,35803,False,True,0,3,False,0,0,49,False,
8126,False,0968da9b-a763-0955-8574-55865bf39e53,False,20059,False,False,0,2,False,0,0,49,False,
8149,False,33bd168c-2f93-2163-1b5e-7c212e3eb984,False,18688,False,True,0,2,False,0,0,49,False,
8155,False,602e4835-3605-e8a1-ed2e-996e12081cee,False,11288,False,False,0,4,False,0,0,49,False,
9360,False,a5a9236f-76fb-aaa3-96bf-1d3b5d2e9f60,False,27060,False,True,4,4,False,0,2,48,False,
10373,True,7b20d3b9-73e4-08bb-b0f0-445e5dba1c22,False,27436,False,True,2,0,False,0,0,130,True,
10539,True,2cdb69f3-c45a-4bb0-377f-573cd77848b3,False,11219,False,True,2,2,False,,,29,True,
7542,True,3ec5850a-5142-34ac-0074-4f56944030eb,True,6748,False,False,0,0,True,6,0,6,False,
7543,True,2c0a5872-34c5-ea24-49c7-403fad73d33b,False,21072,True,True,2,0,True,2,0,9,True,
9554,False,74884a30-c9e0-5e9b-99c5-6d0e0f537bcc,False,115563,False,False,,4,False,,,6,True,
9992,False,bb53e72b-e916-3cf8-3ab1-3c291c213237,False,85203,False,False,,,False,,,4,False,
10583,False,86d214ca-6e6c-cb6b-bb5c-982383e2e977,False,4271,False,False,,2,False,,,7,False,
10586,False,28333239-c902-11c0-eba4-8b0c812a0faf,False,4446,False,False,,2,False,,,29,True,
10672,True,b3c9c181-f6ff-5441-7afa-d87ea56da5ca,False,2255,False,True,4,4,True,2,2,5,False,
7696,True,24a4a718-e48f-c0f4-1149-ba6d47394130,False,11577,True,False,0,0,True,4,0,6,False,
10843,False,949f0c7c-6a54-b29a-3e16-50dd025717f2,True,6178,False,False,,2,False,,2,11,False,
1857,False,19010575-992a-af95-52ba-34f71f46e492,False,2652,False,True,2,0,False,0,0,8,True,
1858,False,b2572d9b-fe16-f867-de9f-9c93df25ad7d,False,732,False,True,2,0,False,0,0,8,False,
1860,False,86182185-3cb5-2c2a-231b-9877f2acce97,False,1371,True,False,0,0,True,4,0,6,False,
